iter	Passed	Remaining
985	36161	513
986	36184	476
987	36218	439
988	36252	403
989	36297	366
990	36323	329
991	36344	293
992	36366	256
993	36390	219
994	36421	183
995	36455	146
996	36484	109
997	36508	73
998	36532	36
999	36558	0
